Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE         LAST SEEN   TYPE      REASON                                   OBJECT                                                         MESSAGE
kube-system       60m         Normal    Created                                  pod/antrea-controller-horizontal-autoscaler-7dd7f9599c-nvpwk   Container created
kube-system       60m         Normal    Pulled                                   pod/antrea-controller-horizontal-autoscaler-7dd7f9599c-nvpwk   Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/cluster-proportional-autoscaler:v1.10.2-gke.24@sha256:1d07b99750cfa777b55d7a66e73c4e4241dca6b215715478deb5793263a91527" in 2.693s (6.253s including waiting). Image size: 13688349 bytes.
kube-system       60m         Normal    Started                                  pod/pdcsi-node-8w5sh                                           Container started
kube-system       60m         Normal    Pulling                                  pod/pdcsi-node-8w5sh                                           Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/csi-node-driver-registrar:v2.15.0-gke.26@sha256:f63211217e586411ba3703c247c1ef89154e5f86e8cbb2d44846d59d9de049a1"
kube-system       60m         Normal    Pulling                                  pod/konnectivity-agent-78dd94f664-pbdqc                        Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/proxy-agent:v0.34.0-gke.5@sha256:497745796db269a0e2d5257c4376bf8c64269e46119ab9b110b67592ef88372c"
gke-managed-cim   60m         Normal    Pulled                                   pod/kube-state-metrics-0                                       Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251023.00_p0@sha256:a7cb98da2747fc1e6cbce7c773fe9214fac03712b305ea6c0370392136b796a0" in 423ms (6.556s including waiting). Image size: 2955257 bytes.
gke-managed-cim   60m         Normal    Created                                  pod/kube-state-metrics-0                                       Container created
gke-managed-cim   60m         Normal    Started                                  pod/kube-state-metrics-0                                       Container started
kube-system       60m         Normal    Started                                  pod/antrea-controller-horizontal-autoscaler-7dd7f9599c-nvpwk   Container started
gke-managed-cim   60m         Normal    Pulling                                  pod/kube-state-metrics-0                                       Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/kube-state-metrics:v2.14.0-gke.51@sha256:a346b3c4a95bf91641ed3facf8957fbb98823f92916d1cca356ad5c021cb1a4e"
kube-system       60m         Normal    Started                                  pod/kube-dns-586c9659dd-97xh9                                  Container started
kube-system       60m         Normal    Pulled                                   pod/kube-dns-586c9659dd-97xh9                                  Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-kube-dns:1.26.8-gke.3@sha256:e349d527bdfe0dfd02c26b38a94311415839ea30f48ca837d08ba5d9383f77cd" in 3.656s (7.712s including waiting). Image size: 30596335 bytes.
kube-system       60m         Normal    Pulling                                  pod/kube-dns-586c9659dd-97xh9                                  Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-dnsmasq-nanny:1.26.8-gke.3@sha256:b5a2a5d776d611873573087f2caae2655122eb6354ca33856358331a1dcb9f2a"
kube-system       60m         Normal    Created                                  pod/kube-dns-586c9659dd-97xh9                                  Container created
