Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                          MESSAGE
gmp-system                    53m         Warning   FailedScheduling                         pod/collector-5z8j9                                             0/3 nodes are available: 1 Insufficient cpu, 2 node(s) didn't satisfy plugin(s) [NodeAffinity]. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
gmp-system                    53m         Warning   FailedScheduling                         pod/gmp-operator-7bc4cd5955-hfhc7                               0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   54m         Normal    Scheduled                                pod/netd-xhxxr                                                  Successfully assigned kube-system/netd-xhxxr to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
kube-system                   46m         Normal    Scheduled                                pod/netd-xdcq9                                                  Successfully assigned kube-system/netd-xdcq9 to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds
kube-system                   54m         Normal    Scheduled                                pod/netd-rh5m4                                                  Successfully assigned kube-system/netd-rh5m4 to gke-gke-a3h-spot-dc0273-default-pool-3301d7bf-6lhg
gmp-system                    53m         Warning   FailedScheduling                         pod/collector-5z8j9                                             0/3 nodes are available: 1 Insufficient cpu, 2 node(s) didn't satisfy plugin(s) [NodeAffinity]. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
kube-system                   54m         Normal    Scheduled                                pod/fluentbit-gke-d6k69                                         Successfully assigned kube-system/fluentbit-gke-d6k69 to gke-gke-a3h-spot-dc0273-default-pool-86cfb995-s177
kube-system                   46m         Normal    Scheduled                                pod/fluentbit-gke-6dggx                                         Successfully assigned kube-system/fluentbit-gke-6dggx to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9
gmp-system                    46m         Normal    Scheduled                                pod/collector-778k7                                             Successfully assigned gmp-system/collector-778k7 to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9
gmp-system                    47m         Normal    Scheduled                                pod/alertmanager-0                                              Successfully assigned gmp-system/alertmanager-0 to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
gmp-system                    47m         Warning   FailedScheduling                         pod/alertmanager-0                                              no nodes available to schedule pods
gmp-system                    48m         Warning   FailedScheduling                         pod/alertmanager-0                                              no nodes available to schedule pods
kube-system                   54m         Normal    Scheduled                                pod/gke-metrics-agent-4h9x4                                     Successfully assigned kube-system/gke-metrics-agent-4h9x4 to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
kube-system                   54m         Normal    Scheduled                                pod/fluentbit-gke-5ccfh                                         Successfully assigned kube-system/fluentbit-gke-5ccfh to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
gmp-system                    53m         Warning   FailedScheduling                         pod/alertmanager-0                                              0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   53m         Normal    Scheduled                                pod/event-exporter-gke-588455645b-fsrzx                         Successfully assigned kube-system/event-exporter-gke-588455645b-fsrzx to gke-gke-a3h-spot-dc0273-default-pool-86cfb995-s177
kube-system                   47m         Normal    Scheduled                                pod/anetd-cf7z6                                                 Successfully assigned kube-system/anetd-cf7z6 to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   46m         Normal    Scheduled                                pod/anetd-hcwtd                                                 Successfully assigned kube-system/anetd-hcwtd to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds
kube-system                   54m         Normal    Scheduled                                pod/netd-4hkpj                                                  Successfully assigned kube-system/netd-4hkpj to gke-gke-a3h-spot-dc0273-default-pool-86cfb995-s177
kube-system                   46m         Normal    Scheduled                                pod/nccl-tcpx-installer-th626                                   Successfully assigned kube-system/nccl-tcpx-installer-th626 to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9
kube-system                   46m         Normal    Scheduled                                pod/nccl-tcpx-installer-9zbbm                                   Successfully assigned kube-system/nccl-tcpx-installer-9zbbm to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds
gmp-system                    53m         Normal    Scheduled                                pod/alertmanager-0                                              Successfully assigned gmp-system/alertmanager-0 to gke-gke-a3h-spot-dc0273-default-pool-86cfb995-s177
gmp-system                    53m         Warning   FailedScheduling                         pod/alertmanager-0                                              0/3 nodes are available: 1 Insufficient cpu, 2 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
gmp-system                    54m         Warning   FailedScheduling                         pod/alertmanager-0                                              0/3 nodes are available: 1 Insufficient cpu, 2 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
gmp-system                    54m         Warning   FailedScheduling                         pod/alertmanager-0                                              no nodes available to schedule pods
gmp-system                    55m         Warning   FailedScheduling                         pod/alertmanager-0                                              no nodes available to schedule pods
kube-system                   53m         Warning   FailedScheduling                         pod/event-exporter-gke-588455645b-fsrzx                         0/3 nodes are available: 1 Insufficient cpu, 2 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
kube-system                   53m         Warning   FailedScheduling                         pod/event-exporter-gke-588455645b-fsrzx                         0/3 nodes are available: 1 Insufficient cpu, 2 node(s) had untolerated taint {node.kubernetes.io/not-ready: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
kube-system                   47m         Normal    Scheduled                                pod/gke-metrics-agent-4qhrj                                     Successfully assigned kube-system/gke-metrics-agent-4qhrj to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   54m         Normal    Scheduled                                pod/gke-metrics-agent-fstnw                                     Successfully assigned kube-system/gke-metrics-agent-fstnw to gke-gke-a3h-spot-dc0273-default-pool-3301d7bf-6lhg
kube-system                   46m         Normal    Scheduled                                pod/gke-metrics-agent-lk4jc                                     Successfully assigned kube-system/gke-metrics-agent-lk4jc to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-c6ds
kube-system                   54m         Normal    Scheduled                                pod/gke-metrics-agent-p98w9                                     Successfully assigned kube-system/gke-metrics-agent-p98w9 to gke-gke-a3h-spot-dc0273-default-pool-86cfb995-s177
kube-system                   54m         Normal    Scheduled                                pod/anetd-k92d5                                                 Successfully assigned kube-system/anetd-k92d5 to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
gmp-system                    54m         Normal    Scheduled                                pod/collector-s6jzq                                             Successfully assigned gmp-system/collector-s6jzq to gke-gke-a3h-spot-dc0273-default-pool-86cfb995-s177
gmp-system                    54m         Normal    Preempted                                pod/collector-mtjkj                                             Preempted by pod faf27db8-f05f-4eee-8ad2-51b6f3b74bd7 on node gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
gmp-system                    54m         Normal    Scheduled                                pod/collector-mtjkj                                             Successfully assigned gmp-system/collector-mtjkj to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
kube-system                   54m         Warning   FailedScheduling                         pod/l7-default-backend-b5b9d8d6f-nkt6j                          no nodes available to schedule pods
kube-system                   46m         Normal    Scheduled                                pod/anetd-prpff                                                 Successfully assigned kube-system/anetd-prpff to gke-gke-a3h-spot-dc0-a3-highgpu-8g-a3-20ebc161-lkz9
kube-system                   54m         Normal    Scheduled                                pod/anetd-qx5dm                                                 Successfully assigned kube-system/anetd-qx5dm to gke-gke-a3h-spot-dc0273-default-pool-3301d7bf-6lhg
kube-system                   47m         Normal    Scheduled                                pod/metrics-server-v1.33.0-854c9c74f4-kv87l                     Successfully assigned kube-system/metrics-server-v1.33.0-854c9c74f4-kv87l to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   47m         Warning   FailedScheduling                         pod/metrics-server-v1.33.0-854c9c74f4-kv87l                     no nodes available to schedule pods
kube-system                   48m         Warning   FailedScheduling                         pod/metrics-server-v1.33.0-854c9c74f4-kv87l                     no nodes available to schedule pods
kube-system                   53m         Warning   FailedScheduling                         pod/metrics-server-v1.33.0-854c9c74f4-kv87l                     0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   54m         Normal    Scheduled                                pod/metrics-server-v1.33.0-854c9c74f4-jd9mz                     Successfully assigned kube-system/metrics-server-v1.33.0-854c9c74f4-jd9mz to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
kube-system                   53m         Warning   FailedScheduling                         pod/l7-default-backend-b5b9d8d6f-vpc7p                          0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   55m         Warning   FailedScheduling                         pod/metrics-server-v1.33.0-854c9c74f4-jd9mz                     no nodes available to schedule pods
kube-system                   54m         Warning   FailedScheduling                         pod/antrea-controller-horizontal-autoscaler-7fb7f46fbd-6bcrt    no nodes available to schedule pods
